92.15	14.012	
93.15	15.852	
94.15	17.918	
95.15	20.145	
96.15	22.611	
96.30	26.265	
97.15	25.331	
97.20	29.064	
97.60	31.064	
98.15	28.278	
98.60	34.797	
99.15	31.477	
99.40	38.130	
100.15	34.931	
101.15	38.663	
102.15	42.716	
103.15	47.090	
104.15	51.836	
105.15	56.955	
106.15	62.422	
107.15	68.288	
108.15	74.567	
109.15	81.273	
109.20	92.792	
109.80	98.392	
110.15	88.499	
112.35	111.109	
117.82	164.850	
120.48	199.173	
122.71	233.791	
124.90	269.977	
126.96	308.321	
128.33	336.270	
130.25	378.341	
131.41	405.309	
131.77	402.073	
132.13	423.059	
135.60	512.790	
136.14	490.332	
137.91	581.240	
139.86	588.399	
140.23	655.575	
140.67	686.465	
142.21	724.613	
144.20	800.026	
145.41	784.532	
146.49	892.405	
146.70	900.545	
147.84	950.068	
148.40	990.472	
149.80	1037.250									
150.00	1078.730	
151.75	1186.600	
152.41	1163.170	
154.07	1284.670	
155.46	1328.600	
155.82	1372.930	
156.65	1395.490	
157.27	1471.000	
158.50	1506.100	
160.04	1657.320	
161.15	1675.560	
161.61	1863.260	
164.31	1893.170	
165.84	2079.010	
167.40	2126.380	
169.01	2333.980	
170.52	2381.050	
173.27	2624.260	
173.38	2716.440	
175.74	2759.690	
176.22	2981.220	
178.09	3092.330	
179.10	3285.230	
179.83	3276.210	
180.00	3286.850	
180.00	3393.100	
180.92	3500.970	
181.82	3495.380	
182.00	3508.870	
183.32	3668.470	
184.00	3742.280	
	
